chr	start	end	gene	score	strand	length	DESCRIPTION	is_TF	is_SM_gene	SM_cluster	hasPeak.An_kdmB_48h_HA_1	peakId.An_kdmB_48h_HA_1	peakDist.An_kdmB_48h_HA_1	summitDist.An_kdmB_48h_HA_1	peakType.An_kdmB_48h_HA_1	enrichment.An_kdmB_48h_HA_1	peakCoverage.An_kdmB_48h_HA_1	pval.An_kdmB_48h_HA_1	tesPeakType.An_kdmB_48h_HA_1	tesEnrichment.An_kdmB_48h_HA_1	tesPval.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	peakId.An_sntB_48h_HA_1	peakDist.An_sntB_48h_HA_1	summitDist.An_sntB_48h_HA_1	peakType.An_sntB_48h_HA_1	enrichment.An_sntB_48h_HA_1	peakCoverage.An_sntB_48h_HA_1	pval.An_sntB_48h_HA_1	tesPeakType.An_sntB_48h_HA_1	tesEnrichment.An_sntB_48h_HA_1	tesPval.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	peakId.An_ecoA_48h_HA_1	peakDist.An_ecoA_48h_HA_1	summitDist.An_ecoA_48h_HA_1	peakType.An_ecoA_48h_HA_1	enrichment.An_ecoA_48h_HA_1	peakCoverage.An_ecoA_48h_HA_1	pval.An_ecoA_48h_HA_1	tesPeakType.An_ecoA_48h_HA_1	tesEnrichment.An_ecoA_48h_HA_1	tesPval.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	peakId.An_rpdA_48h_HA_1	peakDist.An_rpdA_48h_HA_1	summitDist.An_rpdA_48h_HA_1	peakType.An_rpdA_48h_HA_1	enrichment.An_rpdA_48h_HA_1	peakCoverage.An_rpdA_48h_HA_1	pval.An_rpdA_48h_HA_1	tesPeakType.An_rpdA_48h_HA_1	tesEnrichment.An_rpdA_48h_HA_1	tesPval.An_rpdA_48h_HA_1	An_untagged_48h_polII_1	is_expressed.An_untagged_48h_polII_1	group
ChrIII_A_nidulans_FGSC_A4	94635	97094	AN5067	.	+	2459	Putative transporter of the major facilitator superfamily (MFS); expression reduced after exposure to farnesol	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_10	0	-217	overlapStart	5.38554	27.7113445365571	56.19912	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_9	-89	-222	upstream	2.38889	16.1867169485581	10.47265	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_6	0	-110	overlapStart	3.94608	27.894871411538	28.41867	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_13	0	-202	overlapStart	3.63292	27.7084639427666	29.75318	NA	NA	NA	7.1402	FALSE	15
ChrIII_A_nidulans_FGSC_A4	123150	124243	AN5060	.	-	1093	Has domain(s) with predicted arylformamidase activity and role in tryptophan catabolic process to kynurenine	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_12	-1026	-1093	upstream	2.24466	11.5872896675752	6.98492	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_11	-1035	-1103	upstream	2.04842	13.3428821188914	5.9596	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.59378999614716	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	2.95802998709679	NA	NA	NA	NA	2.3352	FALSE	12
ChrIII_A_nidulans_FGSC_A4	131750	134400	AN5057	.	+	2650	Putative phosphoprotein phosphatase; reduced growth on AVICEL medium and reduced eglA and eglB expression	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_13	-61	-102	upstream	1.87818	11.5520545468472	4.2158	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	3.37689197683334	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.62269992613792	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_15	-42	-210	upstream	1.47794	11.7528174074869	2.3543	NA	NA	NA	8.0521	FALSE	09
ChrIII_A_nidulans_FGSC_A4	135942	136592	AN5056	.	-	650	Homologous to ccg-1 from N. crassa; transcript induced by light in in developmentally competent mycelia	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_15	0	-224	overlapStart	4.8979	22.9765272037003	41.29681	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_13	0	159	includeFeature	4.85682	24.4693618689802	48.11615	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_8	-45	-188	upstream	1.81929	14.0909810120205	3.91505	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_16	-83	-204	upstream	2.70419	19.5596181626753	13.46257	NA	NA	NA	3.6081	FALSE	15
ChrIII_A_nidulans_FGSC_A4	136962	137516	AN11456	.	+	554	Protein of unknown function	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_15	0	-146	overlapStart	4.8979	22.9765272037003	41.29681	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_13	0	-529	includeFeature	4.85682	24.4693618689802	48.11615	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_8	-62	-182	upstream	1.81929	14.0909810120205	3.91505	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_16	-14	-166	upstream	2.70419	19.5596181626753	13.46257	NA	NA	NA	1.2688	FALSE	15
ChrIII_A_nidulans_FGSC_A4	139263	140797	AN5055	.	-	1534	Has domain(s) with predicted aminopeptidase activity, metalloexopeptidase activity and role in cellular process, proteolysis	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_16	-107	-633	upstream	5.54178	39.0832921121019	73.63287	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_14	-266	-599	upstream	3.24427	29.1639472917772	28.67179	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_9	-356	-636	upstream	4.68454	41.1629676859866	48.41861	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_17	-239	-628	upstream	3.78457	41.4552574737953	40.38372	NA	NA	NA	4.6443	FALSE	15
ChrIII_A_nidulans_FGSC_A4	149463	152302	AN5052	.	+	2839	Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	7.05404989767075	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	10.1573440303802	NA	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_10	0	303	inside	2.55619	18.1756513887586	10.09122	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_18	0	303	inside	2.2538299999999998	17.1256206255433	8.65858	NA	NA	NA	7.9007	FALSE	03
ChrIII_A_nidulans_FGSC_A4	151295	152756	AN5051	.	-	1461	Has domain(s) with predicted zinc ion binding activity	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_17	-342	-617	upstream	4.77808	39.9619999769257	59.50797	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_15	-384	-799	upstream	2.37051	23.9244763411166	13.88333	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_11	-469	-622	upstream	2.88918	26.0585552209118	18.67105	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_19	-250	-614	upstream	3.21415	35.6988595483128	28.71163	NA	NA	NA	25.8414	TRUE	15
ChrIII_A_nidulans_FGSC_A4	154026	156260	AN5050	.	-	2234	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_18	0	26	overlapStart	4.20896	22.4262403870022	31.1442	pseudo_overlapEnd	4.77808	59.50797	TRUE	An_sntB_48h_HA_1_withCtrl_peak_16	0	-103	overlapStart	3.44385	20.6080979627721	23.55205	pseudo_overlapEnd	2.37051	13.88333	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_12	0	-65	overlapStart	2.8487	17.6972852123783	12.49436	pseudo_overlapEnd	2.88918	18.67105	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_20	0	-62	overlapStart	4.31347	27.1517026308875	38.06723	pseudo_overlapEnd	3.21415	28.71163	24.2598	TRUE	15
ChrIII_A_nidulans_FGSC_A4	181133	182222	AN10612	.	-	1089	Has domain(s) with predicted catalytic activity and role in metabolic process	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	3.95322001600266	NA	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_18	-3561	-3802	upstream	1.62256	11.878577476324	3.47487	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	4.68636995601654	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	1.99847000813484	NA	NA	NA	NA	3.6754	FALSE	04
ChrIII_A_nidulans_FGSC_A4	216105	218083	AN5035	.	+	1978	Has domain(s) with predicted solute:proton antiporter activity, role in cation transport, transmembrane transport and integral component of membrane localization	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_20	-718	-933	upstream	3.16956	19.6226650706067	17.43581	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_20	-758	-967	upstream	2.83245	17.5956218386106	15.28853	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_14	-832	-906	upstream	2.12913	14.4563595380651	6.1024	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_21	-780	-849	upstream	1.55832	13.0879694145758	2.76887	NA	NA	NA	2.4999	FALSE	15
ChrIII_A_nidulans_FGSC_A4	237310	241562	AN5028	.	-	4252	Fatty acid oxygenase that plays a role in oxylipin biosynthesis; responsible for the formation of the psi-factor component psiB-beta; expression reduced after exposure to farnesol	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_21	0	-1246	overlapStart	5.35032	35.2214293546916	58.86924	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_21	-514	-782	upstream	1.67569	14.81681104766	3.95014	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_15	-129	-1244	upstream	4.37281	25.9676900574909	37.06817	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_22	0	-1245	overlapStart	3.94271	30.4556071140446	37.9173	NA	NA	NA	12.1919	FALSE	15
ChrIII_A_nidulans_FGSC_A4	243607	244446	AN11779	.	-	839	Protein of unknown function	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_22	0	554	includeFeature	5.74332	41.36688834564	65.99956	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	12.1068199224472	NA	insideOverlapEnd	1.9519	6.03376	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_15	0	1640	includeFeature	4.37281	25.9676900574909	37.06817	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_22	0	1639	includeFeature	3.94271	30.4556071140446	37.9173	NA	NA	NA	4.143	FALSE	11
ChrIII_A_nidulans_FGSC_A4	244645	247180	AN5027	.	+	2535	Ortholog of A. nidulans FGSC A4 : AN1725, A. fumigatus Af293 : Afu2g14400, Afu3g12130 and A. niger CBS 513.88 : An11g08400, An02g07940, An12g01310, An02g00780	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_22	0	-753	overlapStart	5.74332	41.36688834564	65.99956	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	10.3648119678497	NA	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_15	0	-1839	overlapStart	4.37281	25.9676900574909	37.06817	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_22	0	-1838	overlapStart	3.94271	30.4556071140446	37.9173	NA	NA	NA	8.507	FALSE	11
ChrIII_A_nidulans_FGSC_A4	247642	249983	AN5026	.	+	2341	Ortholog of A. fumigatus Af293 : Afu3g12140, A. niger CBS 513.88 : An02g08280, A. oryzae RIB40 : AO090003000774, Aspergillus wentii : Aspwe1_0169199 and Aspergillus sydowii : Aspsy1_0087531	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_23	0	577	inside	2.92963	18.9866951136118	13.20602	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	8.91163198471069	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	8.24111999797821	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_23	-108	-209	upstream	2.2827	13.1036405167821	8.13026	NA	NA	NA	12.5294	FALSE	09
ChrIII_A_nidulans_FGSC_A4	258919	261754	AN5021	.	-	2835	Ortholog(s) have role in conidium formation, regulation of growth rate	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	12.0421100273132	NA	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_24	0	13	overlapStart	2.69633	20.5886757030934	12.16705	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	13.5328300628662	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_25	0	14	overlapStart	2.50902	14.8432882526615	10.14202	NA	NA	NA	3.3338	FALSE	05
ChrIII_A_nidulans_FGSC_A4	261904	263514	AN5020	.	+	1610	Putative ADP ribosylation factor (Arf) family protein; required for normal endocytosis and polarized growth; the Spitzenkorper and actin patches appear disrupted in an arfB mutant	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	8.02164999246597	NA	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_24	0	-163	overlapStart	2.69633	20.5886757030934	12.16705	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	9.40873009872437	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_25	0	-164	overlapStart	2.50902	14.8432882526615	10.14202	NA	NA	NA	10.3364	FALSE	05
ChrIII_A_nidulans_FGSC_A4	271085	272441	AN5017	.	+	1356	Has domain(s) with predicted oxidoreductase activity and role in metabolic process	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_24	-331	-516	upstream	2.46498	13.3998932902018	8.25759	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_25	-136	-580	upstream	3.29606	17.8793092977361	19.21754	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.56959996700287	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	4.06410002374649	NA	NA	NA	NA	2.249	FALSE	12
ChrIII_A_nidulans_FGSC_A4	278500	279522	AN5014	.	+	1022	Has domain(s) with predicted structural constituent of ribosome activity, role in translation and ribosome localization	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	11.1995599508286	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	18.3019320373535	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	11.4336100616455	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_26	-3	-241	upstream	1.8249	19.6733438209028	5.82416	NA	NA	NA	7.0686	FALSE	01
ChrIII_A_nidulans_FGSC_A4	282846	284851	AN11778	.	-	2005	Putative exoinulinase	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_25	-35	-280	upstream	4.89125	29.8470833282161	44.00425	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_26	-46	-223	upstream	2.72065	16.8728293674748	12.89316	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_16	-54	-309	upstream	4.20788	21.1187870998194	25.53367	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_27	-28	-306	upstream	4.38615	25.3212272032763	34.58346	NA	NA	NA	4.9572	FALSE	15
ChrIII_A_nidulans_FGSC_A4	289109	292630	AN5011	.	-	3521	Ortholog(s) have role in GPI anchor biosynthetic process, fungal-type cell wall organization and cellular bud neck, cellular bud tip, integral component of plasma membrane localization	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	9.35456000614166	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	9.72884806537628	NA	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_17	0	-27	overlapStart	2.07625	14.042000002861	5.32112	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_28	0	-143	overlapStart	2.32966	14.2306447355371	8.53458	NA	NA	NA	11.2909	FALSE	03
ChrIII_A_nidulans_FGSC_A4	292821	294241	AN5010	.	+	1420	Ortholog(s) have role in cellular response to starvation, filamentous growth of a population of unicellular organisms in response to biotic stimulus, filamentous growth of a population of unicellular organisms in response to starvation	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	6.45217001152039	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	6.24076404571533	NA	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_17	-28	-164	upstream	2.07625	14.042000002861	5.32112	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_28	0	-48	overlapStart	2.32966	14.2306447355371	8.53458	NA	NA	NA	7.4061	FALSE	03
ChrIII_A_nidulans_FGSC_A4	294010	294889	AN11776	.	-	879	Ortholog(s) have mitochondrial inner membrane, mitochondrial large ribosomal subunit localization	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_26	0	-130	includeFeature	6.0309	36.7153280223262	88.15694	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_27	0	-146	overlapStart	3.23177	21.7739508063106	27.58804	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_18	0	-104	overlapStart	4.00295	26.2684451538713	36.12181	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_29	0	-115	includeFeature	3.33682	36.603349274829	33.55233	NA	NA	NA	10.873	FALSE	15
ChrIII_A_nidulans_FGSC_A4	295545	299096	AN5009	.	+	3551	Has domain(s) with predicted nucleic acid binding, nucleotide binding activity	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_26	0	-526	overlapStart	6.0309	36.7153280223262	88.15694	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_27	-61	-510	upstream	3.23177	21.7739508063106	27.58804	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_18	-86	-552	upstream	4.00295	26.2684451538713	36.12181	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_29	0	-541	overlapStart	3.33682	36.603349274829	33.55233	NA	NA	NA	10.1777	FALSE	15
