gene	DESCRIPTION	hasPeak(An_kdmB_20h_HA_1)	peakType(An_kdmB_20h_HA_1)	hasTesPeak(An_kdmB_20h_HA_1)	tesPeakType(An_kdmB_20h_HA_1)	hasPeak(An_kdmB_20h_HA_2)	peakType(An_kdmB_20h_HA_2)	hasTesPeak(An_kdmB_20h_HA_2)	tesPeakType(An_kdmB_20h_HA_2)	hasPeak(An_kdmB_48h_HA_1)	peakType(An_kdmB_48h_HA_1)	hasTesPeak(An_kdmB_48h_HA_1)	tesPeakType(An_kdmB_48h_HA_1)	hasPeak(An_kdmB_48h_HA_2)	peakType(An_kdmB_48h_HA_2)	hasTesPeak(An_kdmB_48h_HA_2)	tesPeakType(An_kdmB_48h_HA_2)
AN5086	Conidium-specific RNA of unknown function; member of the SpoC1 gene cluster	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10628	Conidium-specific RNA of unknown function; member of the SpoC1 gene cluster	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10629	Has domain(s) with predicted role in lipid metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10626	Ortholog(s) have intracellular localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10631	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5083	Has domain(s) with predicted proton transmembrane transporter activity, role in ATP hydrolysis coupled proton transport and proton-transporting V-type ATPase, V0 domain, vacuolar proton-transporting V-type ATPase, V0 domain localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5082	Has domain(s) with predicted GTP binding, GTPase activity, structural constituent of cytoskeleton activity, role in microtubule-based process, protein polymerization and microtubule localization	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5081	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN12281	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10625	Has domain(s) with predicted RNA-DNA hybrid ribonuclease activity, nucleic acid binding activity	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN10627	Has domain(s) with predicted GTP binding, GTPase activity, structural constituent of cytoskeleton activity, role in microtubule-based process, protein polymerization and microtubule localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5079	Protein of unknown function	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5078	Has domain(s) with predicted protein dimerization activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN12280	Has domain(s) with predicted DNA binding, chromatin binding activity	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN12279	Putative chitinase; glycoside hydrolase family 18 (GH18) protein with a predicted role in chitin hydrolysis	TRUE	overlapStart	TRUE	overlapEnd	TRUE	upstream	TRUE	overlapEnd	TRUE	upstream	TRUE	overlapEnd	TRUE	upstream	FALSE	NA
AN5076	Has domain(s) with predicted role in cell wall macromolecule catabolic process	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN5075	Protein of unknown function	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5074	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5073	Ortholog of Aspergillus flavus NRRL 3357 : AFL2T_04930, Neosartorya fischeri NRRL 181 : NFIA_032530 and Aspergillus sydowii : Aspsy1_0159547	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5072	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5071	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5070	Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5069	Ortholog of A. nidulans FGSC A4 : AN2683, A. fumigatus Af293 : Afu5g02860, Afu5g14320, A. niger CBS 513.88 : An09g04830, An14g05730 and A. oryzae RIB40 : AO090102000482, AO090001000197	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN5068	Has domain(s) with predicted arylformamidase activity and role in tryptophan catabolic process to kynurenine	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	overlapStart	FALSE	NA	TRUE	upstream	FALSE	NA
AN5067	Putative transporter of the major facilitator superfamily (MFS); expression reduced after exposure to farnesol	TRUE	upstream	FALSE	NA	TRUE	overlapStart	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN5066	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5065	Predicted gypsy transposon-related ORF	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5063	Ortholog of A. niger CBS 513.88 : An09g03770, Neosartorya fischeri NRRL 181 : NFIA_074500, Aspergillus sydowii : Aspsy1_0038892 and Aspergillus terreus NIH2624 : ATET_07074	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5062	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5061	Putative xyloglucanase	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11457	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5060	Has domain(s) with predicted arylformamidase activity and role in tryptophan catabolic process to kynurenine	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN5059	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN12398	Ortholog of A. nidulans FGSC A4 : AN6460, A. oryzae RIB40 : AO090023000067, AO090010000683, Aspergillus wentii : Aspwe1_0075588 and Aspergillus versicolor : Aspve1_0086685	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN12397	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5057	Putative phosphoprotein phosphatase; reduced growth on AVICEL medium and reduced eglA and eglB expression	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN5056	Homologous to ccg-1 from N. crassa; transcript induced by light in in developmentally competent mycelia	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	TRUE	overlapEnd	FALSE	NA	FALSE	NA
AN11456	Protein of unknown function	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN5055	Has domain(s) with predicted aminopeptidase activity, metalloexopeptidase activity and role in cellular process, proteolysis	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN12396	Has domain(s) with predicted catalytic activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5054	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5053	Has domain(s) with predicted N-acetyltransferase activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5052	Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5051	Has domain(s) with predicted zinc ion binding activity	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN5050	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	TRUE	overlapStart	TRUE	pseudo_overlapEnd	TRUE	upstream	TRUE	overlapEnd	TRUE	overlapStart	TRUE	pseudo_overlapEnd	FALSE	NA	FALSE	NA
AN5049	Has domain(s) with predicted cation transmembrane transporter activity, role in cation transport, transmembrane transport and integral component of membrane localization	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5048	Has domain(s) with predicted DNA binding, DNA binding transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5047	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5046	Anisin-1; secreted defensin-like peptide with a predicted role in defense response; high homology to the mosquito defensin AaDefA1	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10613	Putative cytochrome P450	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10624	Ortholog of A. nidulans FGSC A4 : AN10787, Aspergillus brasiliensis : Aspbr1_0059853, Neosartorya fischeri NRRL 181 : NFIA_047300 and Aspergillus versicolor : Aspve1_0089701, Aspve1_0874507	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5044	Has domain(s) with predicted FAD binding, oxidoreductase activity and role in metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10623	Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10612	Has domain(s) with predicted catalytic activity and role in metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5041	Putative aromatic-amino-acid transaminase with a predicted role in aromatic amino acid biosynthesis	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5040	Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5039	Ortholog of A. nidulans FGSC A4 : AN10386, A. niger CBS 513.88 : An09g05600, An13g01270 and A. oryzae RIB40 : AO090026000484, AO090005000917, AO090103000243, AO090005001067	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5038	Has domain(s) with predicted role in cell wall macromolecule catabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11455	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5037	Has domain(s) with predicted flavin adenine dinucleotide binding, oxidoreductase activity, acting on CH-OH group of donors activity and role in oxidation-reduction process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11780	Protein of unknown function	FALSE	NA	FALSE	NA	TRUE	includeFeature	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5036	Has domain(s) with predicted hydrolase activity and role in metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5035	Has domain(s) with predicted solute:proton antiporter activity, role in cation transport, transmembrane transport and integral component of membrane localization	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN5034	Ortholog of A. niger CBS 513.88 : An08g08680, Aspergillus wentii : Aspwe1_0042624, Aspwe1_0046716, Aspergillus versicolor : Aspve1_0127134, Aspve1_0879797 and Aspergillus niger ATCC 1015 : 38042-mRNA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5033	Predicted glycosylphosphatidylinositol (GPI)-anchored protein	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5032	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5031	Putative malate dehydrogenase with a predicted role in the methylglyoxal bypass or the TCA cycle	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5030	Has domain(s) with predicted NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor activity and role in oxidation-reduction process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5029	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5028	Fatty acid oxygenase that plays a role in oxylipin biosynthesis; responsible for the formation of the psi-factor component psiB-beta; expression reduced after exposure to farnesol	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	overlapStart	FALSE	NA	TRUE	upstream	FALSE	NA
AN11779	Protein of unknown function	FALSE	NA	TRUE	overlapEnd	FALSE	NA	TRUE	overlapEnd	TRUE	includeFeature	FALSE	NA	FALSE	NA	TRUE	insideOverlapEnd
AN5027	Ortholog of A. nidulans FGSC A4 : AN1725, A. fumigatus Af293 : Afu2g14400, Afu3g12130 and A. niger CBS 513.88 : An11g08400, An02g07940, An12g01310, An02g00780	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN5026	Ortholog of A. fumigatus Af293 : Afu3g12140, A. niger CBS 513.88 : An02g08280, A. oryzae RIB40 : AO090003000774, Aspergillus wentii : Aspwe1_0169199 and Aspergillus sydowii : Aspsy1_0087531	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	inside	FALSE	NA	FALSE	NA	FALSE	NA
AN5025	Ortholog(s) have polyamine oxidase activity and role in pantothenate biosynthetic process, spermine catabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5024	Has domain(s) with predicted role in transmembrane transport and membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5023	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5022	Dynactin p25 subunit; required for dynein/dynactin localization to the hyphal tip region and for interactions between dynein and the early endosome; contains several hexapeptide repeats	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5021	Ortholog(s) have role in conidium formation, regulation of growth rate	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5020	Putative ADP ribosylation factor (Arf) family protein; required for normal endocytosis and polarized growth; the Spitzenkorper and actin patches appear disrupted in an arfB mutant	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5019	Has domain(s) with predicted 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity, zinc ion binding activity and role in methionine biosynthetic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5018	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5017	Has domain(s) with predicted oxidoreductase activity and role in metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN5016	Ortholog of Aspergillus sydowii : Aspsy1_0147753	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5015	Putative conidiation gene; transcript induced by light in in developmentally competent mycelia; double conF and conJ deletion results in increased cellular glycerol or erythritol leading to delayed germination and desiccation resistance	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5014	Has domain(s) with predicted structural constituent of ribosome activity, role in translation and ribosome localization	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5013	Ortholog(s) have 3'-5'-exoribonuclease activity and role in U5 snRNA 3'-end processing, exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11778	Putative exoinulinase	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN11777	Ortholog of Aspergillus sydowii : Aspsy1_0042827	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5011	Ortholog(s) have role in GPI anchor biosynthetic process, fungal-type cell wall organization and cellular bud neck, cellular bud tip, integral component of plasma membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5010	Ortholog(s) have role in cellular response to starvation, filamentous growth of a population of unicellular organisms in response to biotic stimulus, filamentous growth of a population of unicellular organisms in response to starvation	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11776	Ortholog(s) have mitochondrial inner membrane, mitochondrial large ribosomal subunit localization	TRUE	overlapStart	FALSE	NA	TRUE	overlapStart	FALSE	NA	TRUE	includeFeature	FALSE	NA	TRUE	overlapStart	FALSE	NA
AN5009	Has domain(s) with predicted nucleic acid binding, nucleotide binding activity	TRUE	overlapStart	FALSE	NA	TRUE	pseudo_upstream	FALSE	NA	TRUE	overlapStart	FALSE	NA	TRUE	pseudo_upstream	FALSE	NA
AN5008	Ortholog(s) have role in cellular copper ion homeostasis, mitochondrial respiratory chain complex IV assembly and mitochondrial intermembrane space localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11775	Ortholog(s) have role in Golgi to endosome transport, Golgi to plasma membrane protein transport, protein localization to Golgi apparatus, vesicle organization and integral component of Golgi membrane, trans-Golgi network localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5007	Has domain(s) with predicted metal ion binding activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10611	Ortholog(s) have phosphatidylinositol N-acetylglucosaminyltransferase activity and role in GPI anchor biosynthetic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10621	Ortholog(s) have ATP binding, ATPase activity, Y-form DNA binding, double-strand/single-strand DNA junction binding, four-way junction DNA binding and guanine/thymine mispair binding, more	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5005	Ortholog of A. fumigatus Af293 : Afu3g09840, A. niger CBS 513.88 : An16g03510, A. oryzae RIB40 : AO090005001262, Aspergillus wentii : Aspwe1_0036826 and Aspergillus sydowii : Aspsy1_0042841	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5004	Transcript induced by light in in developmentally competent mycelia	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5003	Ortholog(s) have role in negative regulation by symbiont of host inflammatory response	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN5002	Protein of unknown function	FALSE	NA	TRUE	overlapEnd	FALSE	NA	TRUE	insideOverlapEnd	FALSE	NA	TRUE	overlapEnd	FALSE	NA	TRUE	insideOverlapEnd
AN11774	Has domain(s) with predicted role in intra-Golgi vesicle-mediated transport and Golgi transport complex localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	inside	FALSE	NA	FALSE	NA	FALSE	NA
AN11773	Ortholog(s) have 3'-5'-exoribonuclease activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10622	Ortholog(s) have role in mitochondrial respiratory chain complex assembly, phospholipid translocation and mitochondrial intermembrane space localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5000	Ortholog(s) have 3-hydroxyacyl-CoA dehydratase activity, enoyl-CoA hydratase activity and role in fatty acid elongation, sphingolipid biosynthetic process, vacuolar transport	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN4999	Protein of unknown function	TRUE	includeFeature	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	inside	TRUE	overlapEnd	FALSE	NA	FALSE	NA
AN4998	Putative Ras GTPase-activating protein; required for normal cell polarity and conidiophore development	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN4997	Ortholog(s) have phosphatidylcholine transporter activity, phosphatidylinositol transporter activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
