chr	start	end	gene	score	strand	length	DESCRIPTION	is_TF	is_SM_gene	SM_cluster	An_untagged_20h_polII_1	is_expressed.An_untagged_20h_polII_1	An_untagged_48h_polII_1	is_expressed.An_untagged_48h_polII_1	An_kdmB_del_20h_polII_1	is_expressed.An_kdmB_del_20h_polII_1	An_kdmB_del_48h_polII_1	is_expressed.An_kdmB_del_48h_polII_1	untagged_48h_vs_untagged_20h_polII	kdmB_del_48h_vs_kdmB_del_20h_polII	kdmB_del_20h_vs_untagged_20h_polII	kdmB_del_48h_vs_untagged_48h_polII	hasPeak.An_kdmB_20h_HA_1	peakId.An_kdmB_20h_HA_1	peakDist.An_kdmB_20h_HA_1	summitDist.An_kdmB_20h_HA_1	peakType.An_kdmB_20h_HA_1	enrichment.An_kdmB_20h_HA_1	pval.An_kdmB_20h_HA_1	tesPeakType.An_kdmB_20h_HA_1	tesEnrichment.An_kdmB_20h_HA_1	tesPval.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	peakId.An_kdmB_48h_HA_1	peakDist.An_kdmB_48h_HA_1	summitDist.An_kdmB_48h_HA_1	peakType.An_kdmB_48h_HA_1	enrichment.An_kdmB_48h_HA_1	pval.An_kdmB_48h_HA_1	tesPeakType.An_kdmB_48h_HA_1	tesEnrichment.An_kdmB_48h_HA_1	tesPval.An_kdmB_48h_HA_1	group
ChrIII_A_nidulans_FGSC_A4	35508	37465	AN10626	.	-	1957	Ortholog(s) have intracellular localization	FALSE	FALSE	NA	0.9765	FALSE	3.4603	FALSE	1.5328	FALSE	1.0375	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	37831	38659	AN10631	.	-	828	Protein of unknown function	FALSE	FALSE	NA	0.7456	FALSE	2.4567	FALSE	2.5513	FALSE	1.6751	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	39074	42183	AN5083	.	+	3109	Has domain(s) with predicted proton transmembrane transporter activity, role in ATP hydrolysis coupled proton transport and proton-transporting V-type ATPase, V0 domain, vacuolar proton-transporting V-type ATPase, V0 domain localization	FALSE	FALSE	NA	1.1203	FALSE	2.6192	FALSE	2.0948	FALSE	1.4639	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	42803	44554	AN5082	.	-	1751	Has domain(s) with predicted GTP binding, GTPase activity, structural constituent of cytoskeleton activity, role in microtubule-based process, protein polymerization and microtubule localization	FALSE	FALSE	NA	3.6387	FALSE	4.3665	FALSE	5.0416	FALSE	3.1335	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_8	-376	-623	upstream	2.3937	4.59083	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ChrIII_A_nidulans_FGSC_A4	47150	48303	AN5081	.	-	1153	Protein of unknown function	FALSE	FALSE	NA	0.8469	FALSE	2.082	FALSE	1.9971	FALSE	1.7895	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	49562	51565	AN12281	.	-	2003	Protein of unknown function	FALSE	FALSE	NA	5.5278	FALSE	4.6393	FALSE	3.3533	FALSE	3.1158	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	49607	51566	AN10625	.	+	1959	Has domain(s) with predicted RNA-DNA hybrid ribonuclease activity, nucleic acid binding activity	FALSE	FALSE	NA	5.4368	FALSE	4.5755	FALSE	3.2607	FALSE	3.1195	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_9	-95	-359	upstream	6.60562	36.33813	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_6	-210	-366	upstream	4.84198	37.41104	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	51865	53538	AN10627	.	+	1673	Has domain(s) with predicted GTP binding, GTPase activity, structural constituent of cytoskeleton activity, role in microtubule-based process, protein polymerization and microtubule localization	FALSE	FALSE	NA	4.1613	FALSE	4.7785	FALSE	5.9768	FALSE	5.1997	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	54587	55197	AN5079	.	+	610	Protein of unknown function	FALSE	FALSE	NA	15.509	TRUE	3.8974	FALSE	16.302	TRUE	21.6026	TRUE	-1.75316479498173	0.385549923083978	0.0676860792747513	2.20640079734046	TRUE	An_kdmB_20h_HA_1_narrow_peak_10	-21	-179	upstream	2.67074	5.75977	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ChrIII_A_nidulans_FGSC_A4	55480	56772	AN5078	.	-	1292	Has domain(s) with predicted protein dimerization activity	TRUE	FALSE	NA	6.1974	FALSE	6.9329	FALSE	5.0698	FALSE	5.6504	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	57863	59084	AN12280	.	-	1221	Has domain(s) with predicted DNA binding, chromatin binding activity	FALSE	FALSE	NA	15.1961	TRUE	10.0035	FALSE	10.3175	FALSE	7.6965	FALSE	-0.557683965756261	0	-0.517091149238139	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_11	-1054	-1164	upstream	3.28252	8.72782	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_7	-1063	-1167	upstream	2.85719	13.60818	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	60182	64500	AN12279	.	-	4318	Putative chitinase; glycoside hydrolase family 18 (GH18) protein with a predicted role in chitin hydrolysis	FALSE	FALSE	NA	5.2162	FALSE	3.5326	FALSE	4.2781	FALSE	1.8783	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_12	0	-305	overlapStart	12.17007	117.08622	overlapEnd	3.28252	8.72782	TRUE	An_kdmB_48h_HA_1_narrow_peak_8	-74	-301	upstream	5.69133	89.7552	overlapEnd	2.85719	13.60818	4
ChrIII_A_nidulans_FGSC_A4	65192	67344	AN5076	.	+	2152	Has domain(s) with predicted role in cell wall macromolecule catabolic process	FALSE	FALSE	NA	10.6276	FALSE	3.345	FALSE	5.4193	FALSE	2.1875	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_12	-72	-388	upstream	12.17007	117.08622	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_8	-194	-392	upstream	5.69133	89.7552	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	67435	71552	AN5075	.	-	4117	Protein of unknown function	FALSE	FALSE	NA	1.3984	FALSE	2.281	FALSE	1.8227	FALSE	1.2847	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_13	-303	-461	upstream	2.16804	3.76897	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ChrIII_A_nidulans_FGSC_A4	74337	75165	AN5074	.	-	828	Protein of unknown function	FALSE	FALSE	NA	1.6666	FALSE	2.2711	FALSE	1.3701	FALSE	1.1081	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	75971	76924	AN5073	.	-	953	Ortholog of Aspergillus flavus NRRL 3357 : AFL2T_04930, Neosartorya fischeri NRRL 181 : NFIA_032530 and Aspergillus sydowii : Aspsy1_0159547	FALSE	FALSE	NA	0.9207	FALSE	2.0878	FALSE	1.5243	FALSE	1.1013	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	77879	78363	AN5072	.	+	484	Protein of unknown function	FALSE	FALSE	NA	2.017	FALSE	1.2145	FALSE	2.1725	FALSE	0.9515	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	78670	80283	AN5071	.	-	1613	Protein of unknown function	FALSE	FALSE	NA	1.2634	FALSE	1.9991	FALSE	1.3007	FALSE	1.2575	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	81391	83826	AN5070	.	-	2435	Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization	TRUE	FALSE	NA	1.7228	FALSE	2.7677	FALSE	1.6822	FALSE	1.1952	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	88537	90199	AN5069	.	-	1662	Ortholog of A. nidulans FGSC A4 : AN2683, A. fumigatus Af293 : Afu5g02860, Afu5g14320, A. niger CBS 513.88 : An09g04830, An14g05730 and A. oryzae RIB40 : AO090102000482, AO090001000197	FALSE	FALSE	NA	1.6502	FALSE	3.0846	FALSE	1.7529	FALSE	0.9235	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_14	-602	-726	upstream	2.60833	5.55845	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_9	-171	-663	upstream	3.54987	19.73769	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	91202	93366	AN5068	.	-	2164	Has domain(s) with predicted arylformamidase activity and role in tryptophan catabolic process to kynurenine	FALSE	FALSE	NA	3.6532	FALSE	5.4567	FALSE	3.1311	FALSE	1.7491	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_15	-126	-369	upstream	7.35159	38.09558	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_10	0	-1052	overlapStart	5.31532	56.63965	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	94635	97094	AN5067	.	+	2459	Putative transporter of the major facilitator superfamily (MFS); expression reduced after exposure to farnesol	FALSE	FALSE	NA	6.4789	FALSE	7.1402	FALSE	5.0556	FALSE	4.1572	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_15	-36	-901	upstream	7.35159	38.09558	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_10	0	-218	overlapStart	5.31532	56.63965	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	98288	99921	AN5066	.	-	1633	Protein of unknown function	FALSE	FALSE	NA	0.8749	FALSE	2.6519	FALSE	2.3441	FALSE	1.2103	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	100672	101167	AN5065	.	-	495	Predicted gypsy transposon-related ORF	FALSE	FALSE	NA	1.4657	FALSE	1.7927	FALSE	1.7185	FALSE	0.8773	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	113393	114041	AN5063	.	+	648	Ortholog of A. niger CBS 513.88 : An09g03770, Neosartorya fischeri NRRL 181 : NFIA_074500, Aspergillus sydowii : Aspsy1_0038892 and Aspergillus terreus NIH2624 : ATET_07074	FALSE	FALSE	NA	1.1191	FALSE	2.9927	FALSE	1.504	FALSE	1.0563	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	114481	116143	AN5062	.	+	1662	Protein of unknown function	FALSE	FALSE	NA	0.6999	FALSE	1.8566	FALSE	1.4316	FALSE	1.2656	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	116728	119739	AN5061	.	-	3011	Putative xyloglucanase	FALSE	FALSE	NA	0.9456	FALSE	1.7172	FALSE	1.2183	FALSE	0.8374	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	121917	122446	AN11457	.	-	529	Protein of unknown function	FALSE	FALSE	NA	0.5364	FALSE	2.7004	FALSE	1.5581	FALSE	0.8828	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	123150	124243	AN5060	.	-	1093	Has domain(s) with predicted arylformamidase activity and role in tryptophan catabolic process to kynurenine	FALSE	FALSE	NA	2.3159	FALSE	2.3352	FALSE	0.8773	FALSE	1.0886	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_12	-1032	-1093	upstream	2.16947	6.54338	NA	NA	NA	2
ChrIII_A_nidulans_FGSC_A4	125570	127028	AN5059	.	-	1458	Protein of unknown function	FALSE	FALSE	NA	1.1377	FALSE	2.1544	FALSE	1.3035	FALSE	1.0081	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	128672	129743	AN12398	.	+	1071	Ortholog of A. nidulans FGSC A4 : AN6460, A. oryzae RIB40 : AO090023000067, AO090010000683, Aspergillus wentii : Aspwe1_0075588 and Aspergillus versicolor : Aspve1_0086685	FALSE	FALSE	NA	2.7612	FALSE	4.2711	FALSE	2.4748	FALSE	2.4669	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	130560	130893	AN12397	.	+	333	Protein of unknown function	FALSE	FALSE	NA	1.6449	FALSE	3.192	FALSE	2.1327	FALSE	1.8227	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	131750	134400	AN5057	.	+	2650	Putative phosphoprotein phosphatase; reduced growth on AVICEL medium and reduced eglA and eglB expression	FALSE	FALSE	NA	10.7884	FALSE	8.0521	FALSE	6.959	FALSE	5.6591	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_13	-62	-103	upstream	1.85955	4.19315	NA	NA	NA	2
ChrIII_A_nidulans_FGSC_A4	135942	136592	AN5056	.	-	650	Homologous to ccg-1 from N. crassa; transcript induced by light in in developmentally competent mycelia	FALSE	FALSE	NA	1.5664	FALSE	3.6081	FALSE	3.2557	FALSE	39.7715	TRUE	0	3.26009267649973	0	3.14531710509851	TRUE	An_kdmB_20h_HA_1_narrow_peak_17	-41	-166	upstream	3.54318	14.40693	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_16	0	-224	overlapStart	4.8615	42.02333	overlapEnd	1.99376	4.80574	4
ChrIII_A_nidulans_FGSC_A4	136962	137516	AN11456	.	+	554	Protein of unknown function	FALSE	FALSE	NA	0.5764	FALSE	1.2688	FALSE	2.5283	FALSE	2.8005	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_17	-42	-205	upstream	3.54318	14.40693	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_16	0	-147	overlapStart	4.8615	42.02333	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	139263	140797	AN5055	.	-	1534	Has domain(s) with predicted aminopeptidase activity, metalloexopeptidase activity and role in cellular process, proteolysis	FALSE	FALSE	NA	4.0318	FALSE	4.6443	FALSE	2.8205	FALSE	1.8527	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_18	-41	-647	upstream	7.67885	62.76047	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_17	-168	-633	upstream	5.47161	74.31705	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	142197	142590	AN12396	.	-	393	Has domain(s) with predicted catalytic activity	FALSE	FALSE	NA	1.5171	FALSE	1.8802	FALSE	2.0423	FALSE	1.1018	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	142756	143797	AN5054	.	+	1041	Protein of unknown function	FALSE	FALSE	NA	1.1709	FALSE	2.3041	FALSE	1.4056	FALSE	1.0136	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	145491	146544	AN5053	.	+	1053	Has domain(s) with predicted N-acetyltransferase activity	FALSE	FALSE	NA	0.9077	FALSE	1.452	FALSE	1.5973	FALSE	1.2399	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	149463	152302	AN5052	.	+	2839	Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated	TRUE	FALSE	NA	12.5141	FALSE	7.9007	FALSE	6.7581	FALSE	4.4641	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_20	-104	-288	upstream	2.38536	4.82511	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ChrIII_A_nidulans_FGSC_A4	151295	152756	AN5051	.	-	1461	Has domain(s) with predicted zinc ion binding activity	FALSE	FALSE	NA	69.6189	TRUE	25.8414	TRUE	27.9496	TRUE	12.9411	FALSE	-1.3955944271122	-1.05419901524481	-1.28651093457056	-0.945115522703171	TRUE	An_kdmB_20h_HA_1_narrow_peak_21	-62	-678	upstream	6.23924	36.37884	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_18	-330	-617	upstream	4.67017	58.80149	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	154026	156260	AN5050	.	-	2234	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	FALSE	FALSE	NA	7.0179	FALSE	24.2598	TRUE	7.819	FALSE	6.2069	FALSE	1.65554688703085	0	0	-1.80939248396617	TRUE	An_kdmB_20h_HA_1_narrow_peak_22	0	-14	overlapStart	2.92057	6.54798	pseudo_overlapEnd	6.23924	36.37884	TRUE	An_kdmB_48h_HA_1_narrow_peak_19	0	26	overlapStart	4.31924	33.85164	pseudo_overlapEnd	4.67017	58.80149	4
ChrIII_A_nidulans_FGSC_A4	159672	161442	AN5049	.	+	1770	Has domain(s) with predicted cation transmembrane transporter activity, role in cation transport, transmembrane transport and integral component of membrane localization	FALSE	FALSE	NA	7.2098	FALSE	6.0871	FALSE	7.2146	FALSE	6.3873	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_24	0	10	overlapStart	3.7774	10.6056	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ChrIII_A_nidulans_FGSC_A4	163007	165453	AN5048	.	+	2446	Has domain(s) with predicted DNA binding, DNA binding transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated	FALSE	FALSE	NA	5.0787	FALSE	5.7356	FALSE	5.7872	FALSE	4.4963	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
